ClassNav course extraction
Timestamp: 2025-03-26 14:12:18
====================================================================================================
CRN | Subject | Course | Section | Title | Instructor | Dates
====================================================================================================
44457 | A HI | 1113 | 001 | Understanding Art | Palmer, Allison | Aug 25 - Dec 12
48003 | A HI | 1314 | 001 | Introduction to Art History | Duncan O'Neill, Erin | Aug 25 - Dec 12
44780 | A HI | 1314 | 002 | Introduction to Art History | Duncan O'Neill, Erin | Aug 25 - Dec 12
44781 | A HI | 1314 | 003 | Introduction to Art History | Duncan O'Neill, Erin | Aug 25 - Dec 12
44783 | A HI | 1314 | 004 | Introduction to Art History | Duncan O'Neill, Erin | Aug 25 - Dec 12
44784 | A HI | 1314 | 005 | Introduction to Art History | Duncan O'Neill, Erin | Aug 25 - Dec 12
44785 | A HI | 1314 | 006 | Introduction to Art History | Duncan O'Neill, Erin | Aug 25 - Dec 12
44464 | A HI | 2703 | 001 | Intro to Museum Studies | Fields, Alison | Aug 25 - Dec 12
45038 | A HI | 2803 | 001 | Intro to Native American Art | Harris, Alicia | Aug 25 - Dec 12
51206 | A HI | 3223 | 001 | Hellenistic Greek/Roman Art | Alcock, Susan | Aug 25 - Dec 12
33487 | A HI | 3303 | 025 | Renaissance Art in Italy | Duclaux, Kirk | Aug 25 - Dec 19
49343 | A HI | 3613 | 001 | Studies in American Art | TBA | Aug 25 - Dec 12
49340 | A HI | 3813 | 001 | Colonial Latin American Art | Chavez, Yve | Aug 25 - Dec 12
44481 | A HI | 3980 | 001 | Honors Research       (HONORS) | TBA | Aug 25 - Dec 19
50747 | A HI | 4823 | 001 | 20th C Amer Indian Art History | Harris, Alicia | Aug 25 - Dec 12
51073 | A HI | 4933 | 001 | Process and Theory Workshop | Bailey, Robert | Aug 25 - Dec 12
37267 | A HI | 4993 | 001 | Senior Capstone Experience | Bailey, Robert | Aug 25 - Dec 19
42264 | A HI | 4993 | 002 | Senior Capstone Experience | Palmer, Allison | Aug 25 - Dec 19
45518 | A HI | 4993 | 003 | Senior Capstone Experience | Duncan O'Neill, Erin | Aug 25 - Dec 19
50748 | A HI | 5823 | 001 | 20th C Amer Indian Art History | Harris, Alicia | Aug 25 - Dec 12
47933 | A HI | 5903 | 001 | Methodologies and Theories | Duncan O'Neill, Erin | Aug 25 - Dec 12
47934 | A HI | 5930 | 001 | Graduate Internship | TBA | Aug 25 - Dec 19
51074 | A HI | 5933 | 001 | Process and Theory Workshop | Bailey, Robert | Aug 25 - Dec 12
46446 | A HI | 5960 | 001 | Directed Readings | Harris, Alicia | Aug 25 - Dec 19
42781 | A HI | 5960 | 002 | Directed Readings | Palmer, Allison | Aug 25 - Dec 19
48770 | A HI | 5960 | 003 | Directed Readings | Fields, Alison | Aug 25 - Dec 19
49840 | A HI | 5960 | 004 | Directed Readings | Chavez, Yve | Aug 25 - Dec 19
50636 | A HI | 5960 | 005 | Directed Readings | Froslie, Peter | Aug 25 - Dec 19
49855 | A HI | 5972 | 001 | Thesis Proposal | Harris, Alicia | Aug 25 - Dec 19
49859 | A HI | 5972 | 002 | Thesis Proposal | Chavez, Yve | Aug 25 - Dec 19
42236 | A HI | 5972 | 003 | Thesis Proposal | Bailey, Robert | Aug 25 - Dec 19
50093 | A HI | 5972 | 004 | Thesis Proposal | Burns, Emily | Aug 25 - Dec 19
42260 | A HI | 5980 | 002 | Research for Master's Thesis | Fields, Alison | Aug 25 - Dec 19
42683 | A HI | 5980 | 003 | Research for Master's Thesis | Bailey, Robert | Aug 25 - Dec 19
